power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,6,3,0,NHL,1991-92,21,3,NJD,,0,4,2,0,10,,,30.0,3
0,5,2,0,NHL,1992-93,22,1,NJD,,1,4,-2,0,3,,,33.3,1
0,17,3,1,NHL,1993-94,23,2,NJD,,1,35,1,0,49,,,4.1,2
1,0,11,0,NHL,1994-95,24,3,NJD,,8,30,6,0,28,,SC,10.7,2
1,8,3,1,NHL,1996-97,26,2,NJD,,1,18,-5,0,13,,,15.4,1
0,12,8,0,NHL,1997-98,27,7,EDM,,1,17,-6,0,47,,,14.9,3
0,3,2,0,NHL,1998-99,28,0,EDM,79,2,2,-4,0,8,,,0.0,0
1,5,5,0,NHL,1999-00,29,3,EDM,90,2,9,-1,0,12,,,25.0,2
3,6,6,0,NHL,2001-02,31,4,BOS,128,2,6,-2,0,25,,,16.0,1
0,4,0,0,NHL,2002-03,32,0,DAL,34,0,4,-1,0,3,,,0.0,0
0,5,1,0,NHL,2003-04,33,0,DAL,101,1,4,-1,0,23,,,0.0,0
1,5,4,0,NHL,2005-06,35,3,DAL,81,1,0,-2,0,18,,,16.7,2
0,9,2,0,NHL,2006-07,36,0,SJS,154,2,12,-3,0,22,,,0.0,0
2,0,15,2,NHL,2008-09,38,7,PIT,408,8,15,8,0,70,116,SC,10.0,5
1,11,9,0,NHL,2009-10,39,4,PIT,201,5,2,3,0,30,52,,13.3,3
