game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,-2,6,0,6,1,1972-73,1,0,0,0,,NHL,0.0,0,24,7,[],1,0,,BUF
2,0,100,0,67,13,1973-74,12,0,13,0,,NHL,13.0,1,25,71,[],26,13,,BUF
6,29,226,0,78,39,1974-75,35,0,31,4,,NHL,13.7,4,26,116,"[{'link': '/awards/voting-1975.html#hart', 'name': 'Hart-9'}]",70,27,,BUF
6,5,218,0,74,38,1975-76,0,0,43,13,,WHA,19.7,0,27,156,[],81,30,,CNS
6,25,229,0,77,47,1976-77,0,0,41,7,,WHA,17.9,0,28,102,"[{'link': '/awards/wha_all_star.html#1977', 'name': 'ASW-2'}]",88,34,,CNS
0,-1,204,0,72,41,1977-78,0,1,30,5,,WHA,14.7,0,29,156,[],71,24,,CNS
0,5,106,0,47,20,1978-79,0,0,17,3,,WHA,16.0,0,30,102,[],37,14,,CNS
1,11,36,0,24,6,1978-79,6,0,5,0,,NHL,13.9,0,30,2,[],11,5,,BUF
2,11,109,0,66,22,1979-80,16,0,11,0,,NHL,10.1,6,31,58,[],33,11,,BUF
0,-5,102,0,68,18,1980-81,17,0,15,2,,NHL,14.7,1,32,38,[],33,13,,TOT
0,7,49,0,38,13,1980-81,12,0,10,2,,NHL,20.4,1,32,10,[],23,8,,BUF
0,-12,53,0,30,5,1980-81,5,0,5,0,,NHL,9.4,0,32,28,[],10,5,,WIN
