bad_start,shutouts,awards,points,goals_allowed_average,goals_saved_aboved_average,shots_againist,league,good_starts,age,good_start_precentages,saves,pim,goals,games_started,goals_allowed_precentage,goals_allowed,saves_percentage,year,team,loses,goalie_point_share,assists,ties,wins,games_played,minutes
0,0,[],0,3.68,0,0,NHL,0,26,0,0,8,0,0,0,125,0,1965-66,NYR,20,3.5,0,6,8,35,2036
0,0,"[{'link': '/awards/nhl_all_star.html#1967', 'name': None}, {'link': '/awards/voting-1967.html#hart', 'name': 'Hart-2'}]",0,2.61,0,0,NHL,0,27,0,0,8,0,0,0,173,0,1966-67,NYR,27,0,0,0,0,0,0
0,0,"[{'link': '/awards/nhl_all_star.html#1968', 'name': None}]",0,2.44,0,0,NHL,0,28,0,0,4,0,0,0,0,0,1967-68,NYR,20,0,0,10,0,0,0
0,7,"[{'link': '/awards/nhl_all_star.html#1969', 'name': None}, {'link': '/awards/voting-1969.html#hart', 'name': 'Hart-7'}]",0,2.55,0,0,NHL,0,29,0,0,2,0,0,0,175,0,1968-69,NYR,23,0,0,7,0,0,0
0,6,"[{'link': '/awards/nhl_all_star.html#1970', 'name': None}]",2,2.36,0,0,NHL,0,30,0,0,2,0,0,0,163,0,1969-70,NYR,21,0,2,14,35,0,0
0,0,"[{'link': '/awards/nhl_all_star.html#1971', 'name': None}, {'link': '/awards/voting-1971.html#hart', 'name': 'Hart-8'}, {'link': '/awards/vezina.html#1971', 'name': None}]",0,2.16,0,0,NHL,0,31,0,0,4,0,0,0,95,0,1970-71,NYR,10,11.0,0,7,27,45,2641
0,1,[],3,2.70,0,0,NHL,0,32,0,0,4,0,0,0,115,0,1971-72,NYR,10,8.2,3,9,24,44,2551
0,4,[],2,2.91,0,0,NHL,0,33,0,0,6,0,0,0,125,0,1972-73,NYR,11,8.3,2,6,26,43,2580
0,5,[],1,3.07,0,0,NHL,0,34,0,0,4,0,0,0,168,0,1973-74,NYR,15,9.4,1,10,30,56,3286
0,1,[],0,3.48,0,0,NHL,0,35,0,0,20,0,0,0,120,0,1974-75,NYR,12,5.4,0,8,13,37,2069
0,2,[],0,3.61,0,0,NHL,0,36,0,0,0,0,0,0,119,0,1975-76,TOT,17,4.8,0,4,12,33,1980
0,0,[],0,4.75,0,0,NHL,0,36,0,0,0,0,0,0,19,0,1975-76,NYR,3,0.2,0,1,0,4,240
0,2,[],0,3.45,0,0,NHL,0,36,0,0,0,0,0,0,100,0,1975-76,DET,14,4.6,0,3,12,29,1740
0,3,[],1,3.58,0,0,NHL,0,37,0,0,4,0,0,0,107,0,1976-77,DET,18,4.1,1,3,8,33,1791
0,0,[],0,3.14,0,0,NHL,0,38,0,0,0,0,0,0,27,0,1977-78,DET,5,1.5,0,1,3,9,516
