average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
21:21,0,0,0,0,0,NHL,21,0,0,0,-5,6,0,0,0,0,0,0,0,1999-00,BOS,0,0,0,0,0.0,107,5,[]
14:27,0,0,0,0,0,NHL,22,0,0,0,-1,1,0,0,0,0,0,0,0,2000-01,BOS,0,0,0,0,0.0,14,1,[]
18:30,0,18,1,0,0,NHL,23,14,0,107,18,136,0,4,0,0,0,0,0,2001-02,BOS,4,0,14,0,2.9,1481,80,"[{'link': '/awards/voting-2002.html#calder', 'name': 'Calder-8'}]"
22:41,0,24,2,1,0,NHL,24,16,0,99,8,160,0,6,0,0,0,1,0,2002-03,BOS,7,0,17,0,4.4,1769,78,[]
22:32,0,30,1,1,0,NHL,25,15,0,98,17,178,0,4,0,1,0,9,0,2003-04,BOS,6,0,24,0,3.4,1826,81,[]
20:39,0,12,0,1,0,NHL,27,6,0,93,-7,89,0,3,0,1,1,0,0,2005-06,BOS,5,0,7,0,5.6,1115,54,[]
16:48,0,11,0,0,0,NHL,28,9,0,138,-13,53,0,1,0,1,0,0,0,2006-07,PHX,2,0,9,0,3.8,991,59,[]
17:01,201,12,0,1,93,NHL,29,9,0,125,-9,94,0,2,0,0,0,0,16,2007-08,PHX,3,93,9,20,3.2,1344,79,[]
16:36,229,21,1,0,97,NHL,30,13,0,91,7,104,0,5,0,0,0,3,10,2008-09,FLA,5,52,16,43,4.8,1129,68,[]
16:38,112,8,0,0,59,NHL,31,6,0,71,5,50,0,0,0,1,0,1,14,2009-10,TOT,1,64,7,21,2.0,815,49,[]
16:45,93,7,0,0,54,NHL,31,5,0,59,1,39,0,0,0,1,0,1,12,2009-10,ANA,1,61,6,18,2.6,704,42,[]
15:56,19,1,0,0,5,NHL,31,1,0,12,4,11,0,0,0,0,0,0,2,2009-10,CHI,0,3,1,3,0.0,112,7,[]
14:39,95,8,0,0,87,NHL,32,7,0,40,-1,43,0,1,0,0,0,0,15,2010-11,TOT,1,61,7,25,2.3,747,51,[]
15:43,85,8,0,0,74,NHL,32,7,0,36,2,42,0,1,0,0,0,0,15,2010-11,CHI,1,50,7,24,2.4,645,41,[]
10:15,10,0,0,0,13,NHL,32,0,0,4,-3,1,0,0,0,0,0,0,0,2010-11,PHI,0,11,0,1,0.0,102,10,[]
