assists,team,goals,year,games_played,points,pim,age,plus_minus,league
0,Peterborough Petes,0,1991-92,7,0,5,18,0,OHL
2,Mobile Mysticks,0,1996-97,3,2,2,23,0,ECHL
0,Kansas City Blades,1,1997-98,11,1,49,24,0,IHL
7,Kentucky Thoroughblades,2,1998-99,12,9,10,25,0,AHL
3,Kentucky Thoroughblades,3,1999-00,9,6,44,26,0,AHL
5,Chicago Wolves,1,2003-04,10,6,44,30,5,AHL
4,Eisbaren Berlin,3,2004-05,11,7,24,31,0,Germany
4,Hannover Scorpions,1,2005-06,10,5,38,32,0,Germany
3,HC Fribourg-Gotteron,1,2006-07,3,4,6,33,0,Swiss
5,HC Fribourg-Gotteron,1,2007-08,11,6,12,34,0,Swiss
1,HC Fribourg-Gotteron,0,2008-09,10,1,31,35,0,Swiss
1,HC Fribourg-Gotteron,1,2009-10,3,2,29,36,0,Swiss
2,HC Fribourg-Gotteron,1,2010-11,4,3,4,37,0,Swiss
3,HC Fribourg-Gotteron,0,2011-12,11,3,8,38,0,Swiss
2,HC Fribourg-Gotteron,1,2012-13,14,3,32,39,0,Swiss
