age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,10.4,3,3,-8,NHL,0,0,1995-96,2,48,5,,2,12,,FLA,8
22,,40.0,1,1,-1,NHL,5,0,1996-97,0,5,2,,1,6,,FLA,3
25,,20.0,1,0,-1,NHL,4,0,1999-00,0,5,1,64,0,6,,FLA,1
28,,7.3,1,7,-5,NHL,21,0,2002-03,0,41,3,495,0,18,,MDA,10
31,,4.2,0,3,-1,NHL,16,0,2005-06,0,24,1,314,1,10,,MDA,4
32,SC,11.9,4,5,9,NHL,0,1,2006-07,1,42,5,390,0,0,,ANA,10
33,,0.0,0,0,-1,NHL,2,0,2007-08,0,1,0,28,0,0,1,ANA,0
34,,0.0,0,3,1,NHL,13,0,2008-09,0,7,0,211,0,12,19,ANA,3
35,,0.0,0,0,-1,NHL,5,0,2009-10,0,3,0,63,0,6,9,NJD,0
36,,12.5,1,3,1,NHL,7,0,2010-11,0,8,1,99,0,2,14,BUF,4
