pim,team,assists,plus_minus,points,league,games_played,year,age,goals
30,St. Michael\'s Majors,3,0,5,OHA-Jr.,38,1960-61,17,2
16,St. Michael\'s Majors,14,0,18,OHA-Jr.,32,1961-62,18,4
29,Montreal Jr. Canadiens,7,0,13,OHA-Jr.,27,1962-63,19,6
2,Canada,1,0,2,Olympics,7,1963-64,20,1
0,Rochester Americans,0,0,0,AHL,3,1963-64,20,0
6,Rochester Americans,5,0,6,AHL,30,1964-65,21,1
18,Tulsa Oilers,10,0,20,CPHL,33,1964-65,21,10
74,Tulsa Oilers,18,0,33,CPHL,70,1965-66,22,15
51,Rochester Americans,24,0,38,AHL,72,1966-67,23,14
10,Vancouver Canucks,9,0,15,WHL,46,1967-68,24,6
4,Buffalo Bisons,1,0,5,AHL,14,1967-68,24,4
24,Tulsa Oilers,13,0,18,CHL,47,1968-69,25,5
9,Phoenix Roadrunners,1,0,3,WHL,18,1970-71,27,2
6,Montreal Voyageurs,3,0,8,AHL,33,1970-71,27,5
21,Albuquerque 6-Guns,0,0,4,CHL,19,1973-74,30,4
22,London Lions,13,0,19,Britain,35,1973-74,30,6
0,Virginia Wings,0,0,0,AHL,9,1974-75,31,0
