assists,team,goals,year,games_played,points,pim,age,plus_minus,league
18,West Island Selects,14,1986-87,14,32,0,15,0,QAAA
32,Lac St-Louis Lions,19,1987-88,36,51,51,16,0,QAAA
62,Lac St-Louis Lions,25,1988-89,42,87,48,17,0,QAAA
0,Canada,0,1988-89,3,0,2,17,0,Nat-Tm
16,Cornell Big Red,7,1989-90,27,23,35,18,0,ECAC
34,Cornell Big Red,18,1990-91,32,52,28,19,0,ECAC
13,Cornell Big Red,8,1991-92,27,21,36,20,0,ECAC
1,Canada,0,1991-92,7,1,0,20,0,WJC-A
14,Cornell Big Red,8,1992-93,26,22,30,21,0,ECAC
12,Cornwall Aces,17,1993-94,54,29,24,22,0,AHL
24,Cornwall Aces,15,1994-95,72,39,48,23,0,AHL
52,Providence Bruins,22,1995-96,78,74,89,24,0,AHL
9,2 Teams,4,1996-97,44,13,36,25,0,IHL
6,Chicago Wolves,2,1996-97,14,8,12,25,0,IHL
3,Quebec Rafales,2,1996-97,30,5,24,25,0,IHL
