goals_allowed_precentage,goalie_point_share,goals_saved_aboved_average,bad_start,year,awards,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,1.6,0,0,2000-01,[],24,545,1,0,0,229,253,0,PIT,0,0,0,2.64,27,NHL,.905,0,9,0,7,1
104,10.6,-7.25,0,2001-02,[],178,3877,7,22,0,1673,1851,1,PIT,6,0,0,2.75,28,NHL,.904,0,66,1,25,0
115,5.4,-16.88,0,2002-03,[],126,2410,4,18,0,1071,1197,2,PIT,1,0,0,3.14,29,NHL,.895,0,41,2,14,22
113,2.2,-5.12,0,2003-04,[],46,1098,2,10,0,413,459,0,VAN,3,0,0,2.51,30,NHL,.900,0,21,0,8,6
103,2.7,-1.40,0,2005-06,[],48,1079,1,6,0,424,472,2,DAL,0,0,0,2.67,32,NHL,.898,0,19,2,12,4
108,2.7,-3.62,0,2006-07,[],51,1057,2,6,0,449,500,1,ATL,0,0,0,2.89,33,NHL,.898,0,21,1,9,4
119,4.3,-17.80,8,2007-08,[],111,1927,3,16,12,915,1026,1,ATL,1,0,32,3.46,34,NHL,.892,.375,36,1,14,15
125,3.0,-19.93,6,2008-09,[],100,1717,3,2,9,775,875,0,ATL,0,0,26,3.49,35,NHL,.886,.346,33,0,13,12
96,8.7,5.23,6,2009-10,"[{'link': '/awards/voting-2010.html#byng', 'name': 'Byng-45'}]",115,2632,6,6,23,1240,1355,1,ATL,3,0,42,2.62,36,NHL,.915,.548,47,1,21,16
100,4.6,-0.31,4,2010-11,[],68,1717,2,4,17,709,777,1,NJD,3,0,27,2.38,37,NHL,.912,.630,34,1,15,12
95,4.7,3.08,1,2011-12,[],59,1591,2,2,12,659,718,0,NJD,4,0,23,2.23,38,NHL,.918,.522,27,0,17,7
133,1.2,-12.69,6,2012-13,[],51,1108,3,4,9,384,435,1,NJD,1,0,19,2.76,39,NHL,.883,.474,19,1,6,10
