pim,team,assists,plus_minus,points,league,games_played,year,age,goals
126,Red Deer Rebels,16,0,27,WHL,62,1994-95,16,11
4,Canada,3,0,5,U-18,5,1994-95,16,2
174,Red Deer Rebels,45,0,77,WHL,70,1995-96,17,32
149,Red Deer Rebels,51,12,96,WHL,67,1996-97,18,45
153,Red Deer Rebels,49,-3,92,WHL,67,1997-98,19,43
0,Fredericton Canadiens,1,0,2,AHL,2,1997-98,19,1
118,Fredericton Canadiens,18,-3,34,AHL,60,1998-99,20,16
32,Quebec Citadelles,5,-1,9,AHL,13,1999-00,21,4
51,Quebec Citadelles,9,2,16,AHL,15,2000-01,22,7
35,Quebec Citadelles,14,1,23,AHL,24,2001-02,23,9
6,EHC Visp,4,0,6,Swiss-2,5,2004-05,26,2
32,Hartford Wolf Pack,2,1,5,AHL,25,2013-14,35,3
