power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
0,3,1,0,NHL,2001-02,23,0,MTL,17,1,0,1,0,3,,,0.0,0
0,5,0,0,NHL,2002-03,24,0,NYI,76,0,16,-1,0,4,,,0.0,0
0,5,1,0,NHL,2003-04,25,0,NYI,44,1,4,0,0,8,,,0.0,0
0,5,1,0,NHL,2006-07,28,1,NYI,51,0,0,-3,0,5,,,20.0,1
0,5,1,0,NHL,2007-08,29,0,NJD,25,1,2,1,0,3,5,,0.0,0
0,6,2,1,NHL,2008-09,30,1,PHI,47,1,6,-1,0,4,11,,25.0,1
0,0,7,0,NHL,2009-10,31,4,PHI,258,3,10,4,0,32,59,,12.5,4
0,7,4,0,NHL,2010-11,32,3,PIT,70,1,2,2,0,8,15,,37.5,3
0,3,0,0,NHL,2011-12,33,0,PIT,12,0,10,-3,0,1,1,,0.0,0
0,10,2,1,NHL,2012-13,34,2,NYR,67,0,6,0,0,7,9,,28.6,2
