pim,team,assists,plus_minus,points,league,games_played,year,age,goals
55,Ottawa Jr. Senators,19,0,31,ON-Jr.A,54,1996-97,16,12
43,Guelph Storm,13,0,22,OHL,62,1997-98,17,9
79,Guelph Storm,43,21,71,OHL,66,1998-99,18,28
126,Guelph Storm,34,1,72,OHL,68,1999-00,19,38
78,Louisville Panthers,10,-8,25,AHL,71,2000-01,20,15
83,Utah Grizzlies,16,13,21,AHL,44,2001-02,21,5
36,San Antonio Rampage,23,16,37,AHL,41,2002-03,22,14
45,San Antonio Rampage,22,15,42,AHL,38,2003-04,23,20
30,2 Teams,5,-1,14,AHL,56,2004-05,24,9
21,San Antonio Rampage,4,-3,10,AHL,32,2004-05,24,6
9,Edmonton Roadrunners,1,2,4,AHL,24,2004-05,24,3
24,Mora IK,9,0,11,Sweden,32,2005-06,25,2
18,2 Teams,3,0,4,Finland,13,2005-06,25,1
14,Jokerit Helsinki,2,0,3,Finland,11,2005-06,25,1
4,HPK Hameenlinna,1,0,1,Finland,2,2005-06,25,0
64,Mora IK,12,0,26,Sweden,55,2006-07,26,14
95,Mora IK,16,0,27,Sweden,52,2007-08,27,11
53,Linkopings HC,7,0,23,Sweden,53,2008-09,28,16
59,Rogle BK Angelholm,20,0,34,Sweden,55,2009-10,29,14
8,Rogle BK Angelholm,1,0,4,Sweden-Q,10,2009-10,29,3
2,EHC Biel-Bienne,2,0,7,Swiss,8,2010-11,30,5
20,EHC Biel-Bienne,12,0,23,Swiss,50,2011-12,31,11
26,EHC Biel-Bienne,6,0,16,Swiss,30,2012-13,32,10
