shotsPercentage,faceoff_loses,year,pim,even_strength_assists,total_ice_time,shorthanded_assists,giveaways,total_shots,shots,power_play_assists,even_strength_goals,plus_minus,assists,team,goals,takeaways,faceoff_percentage,age,game_winning_goals,league,shorthanded_goals,blocks,average_ice_time,hits,games_played,faceoff_wins,points,awards,power_play_goals
2.9,0,1999-00,20,6,958,0,0,0,70,1,2,0,7,MDA,2,0,0,26,2,NHL,0,0,19:10,0,50,0,9,[],0
5.8,0,2000-01,34,5,1027,0,0,0,69,5,2,-6,10,MDA,4,0,0,27,1,NHL,0,0,21:51,0,47,0,14,[],2
2.2,0,2001-02,40,2,885,0,0,0,45,0,1,-13,2,MDA,1,0,0,28,0,NHL,0,0,17:01,0,52,0,3,[],0
6.5,0,2002-03,30,10,1844,1,0,0,169,11,7,5,22,MDA,11,0,0,29,5,NHL,0,0,22:30,0,82,0,33,[],4
4.9,0,2003-04,28,4,1789,0,0,0,122,16,1,-28,20,MDA,6,0,0,30,3,NHL,0,0,22:39,0,79,0,26,[],5
4.8,0,2005-06,48,19,2002,0,0,0,84,9,2,9,28,ATL,4,0,0,32,0,NHL,0,0,24:25,0,82,0,32,[],2
3.7,0,2006-07,52,10,1946,1,0,0,82,7,2,-2,18,ATL,3,0,0,33,1,NHL,0,0,25:16,0,77,0,21,[],1
1.9,0,2007-08,42,12,1661,1,45,97,54,0,1,2,13,ATL,1,28,0,34,0,NHL,0,183,20:30,34,81,0,14,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-45'}]",0
3.6,0,2008-09,48,11,1613,1,30,121,56,5,1,2,17,TOT,2,37,0,35,0,NHL,1,190,20:40,41,78,0,19,[],0
4.9,0,2008-09,42,10,1317,1,25,92,41,2,1,4,13,ATL,2,36,0,35,0,NHL,1,164,20:54,36,63,0,15,[],0
0.0,0,2008-09,6,1,296,0,5,29,15,3,0,-2,4,NJD,0,1,0,35,0,NHL,0,26,19:43,5,15,0,4,[],0
