giveaways,league,games_played,game_winning_goals,age,faceoff_loses,total_shots,shots,points,hits,power_play_assists,total_ice_time,team,takeaways,faceoff_percentage,awards,shotsPercentage,even_strength_goals,assists,plus_minus,goals,faceoff_wins,shorthanded_goals,year,blocks,average_ice_time,power_play_goals,pim,shorthanded_assists,even_strength_assists
0,NHL,14,0,21,0,0,15,3,0,0,145,BUF,0,0,[],6.7,1,2,5,1,0,0,2005-06,0,10:24,0,2,0,2
0,NHL,29,0,22,0,0,45,11,0,0,371,BUF,0,0,[],6.7,3,8,5,3,0,0,2006-07,0,12:47,0,18,1,7
23,NHL,77,2,23,26,175,110,35,60,0,1022,BUF,18,36.6,"[{'link': '/awards/voting-2008.html#byng', 'name': 'Byng-45'}, {'link': '/awards/voting-2008.html#selke', 'name': 'Selke-65'}]",17.3,16,16,9,19,15,3,2007-08,24,13:16,0,14,0,16
28,NHL,73,2,24,14,145,80,27,84,0,869,BUF,14,17.6,[],15.0,12,15,0,12,3,0,2008-09,27,11:54,0,20,2,13
13,NHL,76,0,25,8,182,120,20,79,0,1043,TOT,24,33.3,[],8.3,9,10,-3,10,4,1,2009-10,24,13:43,0,12,1,9
0,NHL,2,0,25,0,2,2,1,1,0,21,BUF,0,0,[],0.0,0,1,1,0,0,0,2009-10,1,10:22,0,0,0,1
13,NHL,74,0,25,8,180,118,19,78,0,1022,BOS,24,33.3,[],8.5,9,9,-4,10,4,1,2009-10,23,13:49,0,12,1,8
4,NHL,43,0,26,0,73,48,13,24,0,486,BOS,10,0,[],12.5,5,7,3,6,0,1,2010-11,17,11:18,0,28,0,7
17,NHL,69,1,27,5,136,86,15,59,0,793,BOS,20,28.6,[],10.5,7,6,-5,9,2,2,2011-12,24,11:30,0,15,0,6
11,NHL,46,1,28,8,103,70,17,45,1,583,BOS,25,20.0,"[{'link': '/awards/voting-2013.html#selke', 'name': 'Selke-45'}]",14.3,8,7,3,10,2,2,2012-13,15,12:41,0,8,0,6
13,NHL,72,1,29,6,117,71,18,70,0,789,BOS,32,64.7,[],12.7,8,9,9,9,11,1,2013-14,30,10:58,0,6,0,9
26,NHL,71,1,30,5,117,66,13,77,0,817,BOS,29,28.6,[],9.1,5,7,-9,6,2,1,2014-15,34,11:31,0,12,1,6
2,NHL,12,0,31,1,16,11,0,16,0,137,NYR,5,0.0,[],0.0,0,0,-2,0,0,0,2015-16,9,11:25,0,0,0,0
