game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,1,3,0,9,1,1968-69,1,0,0,0,,NHL,0.0,0,20,0,[],1,0,,MTL
0,-2,8,0,3,0,1969-70,0,0,0,0,,NHL,0.0,0,21,2,[],0,0,,MTL
2,5,208,0,75,52,1970-71,34,0,16,4,,NHL,7.7,18,22,49,"[{'link': '/awards/voting-1971.html#calder', 'name': 'Calder-2'}]",68,12,,MNS
5,4,213,0,63,43,1971-72,28,0,13,3,,NHL,6.1,15,23,31,[],56,10,,MNS
5,12,279,0,78,46,1972-73,38,0,27,3,,NHL,9.7,8,24,61,[],73,24,,MNS
2,-11,200,0,65,24,1973-74,20,0,19,4,,NHL,9.5,4,25,30,[],43,15,,MNS
3,-11,165,0,78,36,1974-75,32,0,18,3,,NHL,10.9,4,26,22,[],54,15,,TOT
1,-19,72,0,38,18,1974-75,17,0,4,1,,NHL,5.6,1,26,16,[],22,3,,MNS
2,8,93,0,40,18,1974-75,15,0,14,2,,NHL,15.1,3,26,6,[],32,12,,NYI
2,18,153,0,76,41,1975-76,29,0,21,10,,NHL,13.7,12,27,58,[],62,11,,NYI
2,18,135,0,78,29,1976-77,20,0,24,4,,NHL,17.8,9,28,27,[],53,20,,NYI
0,14,78,0,56,17,1977-78,17,0,5,0,,NHL,6.4,0,29,12,[],22,5,,NYI
1,-38,84,1,78,16,1979-80,15,2,8,1,,NHL,9.5,0,31,50,[],24,5,,WIN
0,-2,1,0,7,0,1980-81,0,0,0,0,,NHL,0.0,0,32,4,[],0,0,,WIN
