average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,0,0,0,NHL,22,0,0,-1,1,0,0,0,0,1979-80,ATF,0,0,[],0.0,,1
,0,0,0,NHL,23,0,0,0,5,0,0,0,0,1980-81,CGY,0,0,[],0.0,,3
,34,2,0,NHL,24,11,73,-5,121,20,1,2,0,1981-82,TOT,21,13,[],17.4,,76
,3,1,0,NHL,24,0,4,-2,18,3,0,0,0,1981-82,CGY,3,0,[],16.7,,16
,31,1,0,NHL,24,11,69,-3,103,17,1,2,0,1981-82,WSH,18,13,[],17.5,,60
,40,6,0,NHL,25,18,43,16,142,22,0,0,0,1982-83,WSH,22,18,"[{'link': '/awards/voting-1983.html#selke', 'name': 'Selke-3'}]",15.5,,0
,40,4,0,NHL,26,18,74,-2,155,17,4,1,0,1983-84,WSH,21,19,[],13.5,,78
,33,3,1,NHL,27,18,69,10,114,13,0,1,0,1984-85,WSH,14,19,[],12.3,,78
,38,5,3,NHL,28,17,26,7,125,16,0,2,0,1985-86,WSH,19,19,"[{'link': '/awards/voting-1986.html#selke', 'name': 'Selke-22'}]",15.2,,79
,50,2,1,NHL,29,27,74,18,156,21,1,0,0,1986-87,WSH,23,27,"[{'link': '/awards/voting-1987.html#selke', 'name': 'Selke-3'}]",14.7,,78
,26,2,0,NHL,30,14,56,-1,119,12,0,0,0,1987-88,WSH,12,14,"[{'link': '/awards/voting-1988.html#selke', 'name': 'Selke-18'}]",10.1,,72
,18,0,1,NHL,31,13,65,-2,91,4,0,0,0,1988-89,WSH,5,13,"[{'link': '/awards/voting-1989.html#selke', 'name': 'Selke-21'}]",5.5,,75
,25,2,0,NHL,32,16,92,-3,92,8,0,0,1,1989-90,BOS,8,17,[],8.7,,77
