age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
21,,5.0,1,5,0,NHL,13,0,1995-96,0,20,1,,0,16,,STL,6
22,,5.3,1,1,0,NHL,6,0,1996-97,0,19,1,,0,22,,STL,2
23,,4.2,1,9,-2,NHL,10,0,1997-98,0,24,1,,0,26,,STL,10
24,,2.3,0,4,-2,NHL,13,0,1998-99,0,43,1,466,1,28,,STL,5
25,,13.6,1,4,0,NHL,7,0,1999-00,2,22,3,212,2,32,,STL,7
26,,2.9,1,7,10,NHL,15,0,2000-01,0,35,1,508,0,32,,STL,8
27,,6.3,1,7,5,NHL,9,0,2001-02,0,16,1,251,0,24,,STL,8
28,,6.7,1,3,3,NHL,7,0,2002-03,0,15,1,172,0,14,,STL,4
29,,0.0,0,1,1,NHL,5,0,2003-04,0,8,0,139,0,16,,STL,1
31,,8.2,2,16,10,NHL,24,0,2005-06,0,61,5,743,3,26,,EDM,21
32,SC,5.2,2,12,0,NHL,19,0,2006-07,0,58,3,574,1,26,,ANA,15
33,,16.7,0,3,-1,NHL,6,0,2007-08,1,12,2,145,2,12,23,ANA,5
34,,7.4,1,8,4,NHL,13,0,2008-09,0,27,2,354,1,12,65,ANA,10
35,,9.8,1,14,5,NHL,0,0,2009-10,0,41,4,668,3,0,102,PHI,18
36,,0.0,0,1,-3,NHL,3,0,2010-11,0,4,0,42,0,4,7,PHI,1
