game_winning_goals,shotsPercentage,plus_minus,shots,power_play_goals,age,average_ice_time,games_played,assists,year,points,shorthanded_goals,goals,even_strength_goals,team,win,pim,total_ice_time,league
0,0.0,-1,2,0,21,,4,0,1967-68,0,0,0,0,BOS,,4,,NHL
0,0.0,0,1,0,23,,8,0,1969-70,0,0,0,0,BOS,SC,9,,NHL
0,0.0,2,3,0,25,,12,0,1971-72,0,0,0,0,NYR,,46,,NHL
0,0,-1,0,0,26,,2,0,1972-73,0,0,0,0,BOS,,2,,NHL
0,0.0,-1,3,0,28,,3,0,1974-75,0,0,0,0,BOS,,4,,NHL
0,7.1,-1,14,0,29,,12,0,1975-76,1,0,1,1,BOS,,22,,NHL
0,0.0,9,9,0,30,,0,2,1976-77,2,0,0,0,BOS,,26,,NHL
1,12.5,-2,8,0,31,,12,0,1977-78,1,0,1,1,BOS,,4,,NHL
0,0.0,1,1,0,32,,7,2,1978-79,2,0,0,0,BOS,,4,,NHL
0,0.0,2,2,0,33,,4,0,1979-80,0,0,0,0,BOS,,0,,NHL
