game_winning_goals,plus_minus,shots,shorthanded_assists,games_played,assists,year,even_strength_assists,shorthanded_goals,goals,power_play_goals,average_ice_time,league,shotsPercentage,power_play_assists,age,pim,awards,points,even_strength_goals,total_ice_time,team
0,0,0,0,24,8,1965-66,0,0,0,0,,NHL,0,0,19,40,[],8,0,,TOT
0,0,0,0,4,0,1965-66,0,0,0,0,,NHL,0,0,19,12,[],0,0,,DET
0,0,0,0,20,8,1965-66,0,0,0,0,,NHL,0,0,19,28,[],8,0,,BOS
0,0,0,0,29,1,1966-67,0,0,0,0,,NHL,0,0,20,50,[],1,0,,BOS
1,13,53,1,59,10,1967-68,8,0,2,0,,NHL,3.8,1,21,100,[],12,2,,BOS
0,11,22,0,22,3,1968-69,3,0,3,0,,NHL,13.6,0,22,37,[],6,3,,BOS
1,7,36,0,44,7,1969-70,7,0,1,0,,NHL,2.8,0,23,63,[],8,1,,BOS
0,-5,60,1,77,10,1970-71,9,0,2,0,,NHL,3.3,0,24,112,[],12,2,,VAN
0,15,37,0,55,11,1971-72,11,0,1,0,,NHL,2.7,0,25,77,[],12,1,,TOT
0,-1,4,0,6,1,1971-72,1,0,0,0,,NHL,0.0,0,25,23,[],1,0,,VAN
0,16,33,0,49,10,1971-72,10,0,1,0,,NHL,3.0,0,25,54,[],11,1,,NYR
0,4,29,0,49,5,1972-73,5,0,0,0,,NHL,0.0,0,26,53,[],5,0,,TOT
0,5,28,0,44,5,1972-73,5,0,0,0,,NHL,0.0,0,26,51,[],5,0,,DET
0,-1,1,0,5,0,1972-73,0,0,0,0,,NHL,0.0,0,26,2,[],0,0,,BOS
0,-2,30,0,69,4,1973-74,4,0,0,0,,NHL,0.0,0,27,44,[],4,0,,BOS
0,-3,27,0,40,0,1974-75,0,0,0,0,,NHL,0.0,0,28,30,[],0,0,,BOS
1,25,70,0,58,6,1975-76,6,0,1,0,,NHL,1.4,0,29,60,[],7,1,,BOS
0,15,70,0,76,13,1976-77,13,0,3,0,,NHL,4.3,0,30,107,[],16,3,,BOS
2,37,66,0,61,13,1977-78,12,0,4,1,,NHL,6.1,1,31,50,[],17,3,,BOS
0,12,64,0,63,11,1978-79,11,0,6,1,,NHL,9.4,0,32,28,[],17,5,,BOS
0,14,29,0,52,5,1979-80,5,0,0,0,,NHL,0.0,0,33,45,[],5,0,,BOS
0,-3,4,0,11,0,1980-81,0,0,0,0,,NHL,0.0,0,34,12,[],0,0,,BOS
