pim,team,assists,plus_minus,points,league,games_played,year,age,goals
0,Regina Pats,0,0,1,S-SJHL,3,1931-32,16,1
7,Regina Pats,0,0,0,S-SJHL,3,1932-33,17,0
0,Regina Pats,2,0,6,S-SJHL,2,1933-34,18,4
15,Regina Victorias,6,0,15,S-SSHL,22,1934-35,19,9
18,New York Rovers,23,0,38,EAHL,32,1935-36,20,15
8,Syracuse Stars,21,0,35,IAHL,43,1936-37,21,14
10,Syracuse Stars,31,0,38,IAHL,35,1937-38,22,7
10,Syracuse Stars,27,0,54,IAHL,50,1938-39,23,27
36,Regina Army Caps,32,0,61,SSHL,24,1942-43,27,29
4,Buffalo Bisons,8,0,18,AHL,19,1946-47,31,10
10,Dallas Texans,31,0,46,USHL,42,1946-47,31,15
