points,coaches,leage,code,season,wins,loses,overtime_loses,team_name,points_percentage,playoff_result,ties,games_played,finishing_position
0,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,TOR,2017-18,0,0,0,Toronto Maple Leafs,0,,0,0,
95,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,TOR,2016-17,40,27,15,Toronto Maple Leafs,.579,Lost NHL First Round,0,82,3rd
69,"[{'link': '/coaches/babcomi99c.html', 'name': 'M. Babcock'}]",NHL,TOR,2015-16,29,42,11,Toronto Maple Leafs,.421,,0,82,8th
68,"[{'link': '/coaches/carlyra01c.html', 'name': 'R. Carlyle'}, {'link': '/coaches/horacpe01c.html', 'name': 'P. Horachek'}]",NHL,TOR,2014-15,30,44,8,Toronto Maple Leafs,.415,,0,82,7th
84,"[{'link': '/coaches/carlyra01c.html', 'name': 'R. Carlyle'}]",NHL,TOR,2013-14,38,36,8,Toronto Maple Leafs,.512,,0,82,6th
57,"[{'link': '/coaches/carlyra01c.html', 'name': 'R. Carlyle'}]",NHL,TOR,2012-13,26,17,5,Toronto Maple Leafs,.594,Lost NHL Conference Quarter-Finals,0,48,3rd
80,"[{'link': '/coaches/wilsoro02c.html', 'name': 'R. Wilson'}, {'link': '/coaches/carlyra01c.html', 'name': 'R. Carlyle'}]",NHL,TOR,2011-12,35,37,10,Toronto Maple Leafs,.488,,0,82,4th
85,"[{'link': '/coaches/wilsoro02c.html', 'name': 'R. Wilson'}]",NHL,TOR,2010-11,37,34,11,Toronto Maple Leafs,.518,,0,82,4th
74,"[{'link': '/coaches/wilsoro02c.html', 'name': 'R. Wilson'}]",NHL,TOR,2009-10,30,38,14,Toronto Maple Leafs,.451,,0,82,5th
81,"[{'link': '/coaches/wilsoro02c.html', 'name': 'R. Wilson'}]",NHL,TOR,2008-09,34,35,13,Toronto Maple Leafs,.494,,0,82,5th
83,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,TOR,2007-08,36,35,11,Toronto Maple Leafs,.506,,0,82,5th
91,"[{'link': '/coaches/mauripa99c.html', 'name': 'P. Maurice'}]",NHL,TOR,2006-07,40,31,11,Toronto Maple Leafs,.555,,0,82,3rd
90,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,2005-06,41,33,8,Toronto Maple Leafs,.549,,0,82,4th
103,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,2003-04,45,24,3,Toronto Maple Leafs,.628,Lost NHL Conference Semi-Finals,10,82,2nd
98,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,2002-03,44,28,3,Toronto Maple Leafs,.598,Lost NHL Conference Quarter-Finals,7,82,2nd
100,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,2001-02,43,25,4,Toronto Maple Leafs,.610,Lost NHL Conference Finals,10,82,2nd
90,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,2000-01,37,29,5,Toronto Maple Leafs,.549,Lost NHL Conference Semi-Finals,11,82,3rd
100,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,1999-00,45,27,3,Toronto Maple Leafs,.610,Lost NHL Conference Semi-Finals,7,82,1st
97,"[{'link': '/coaches/quinnpa01c.html', 'name': 'P. Quinn'}]",NHL,TOR,1998-99,45,30,0,Toronto Maple Leafs,.591,Lost NHL Conference Finals,7,82,2nd
69,"[{'link': '/coaches/murphmi01c.html', 'name': 'M. Murphy'}]",NHL,TOR,1997-98,30,43,0,Toronto Maple Leafs,.421,,9,82,6th
68,"[{'link': '/coaches/murphmi01c.html', 'name': 'M. Murphy'}]",NHL,TOR,1996-97,30,44,0,Toronto Maple Leafs,.415,,8,82,6th
80,"[{'link': '/coaches/burnspa99c.html', 'name': 'P. Burns'}, {'link': '/coaches/beverni01c.html', 'name': 'N. Beverley'}]",NHL,TOR,1995-96,34,36,0,Toronto Maple Leafs,.488,Lost NHL Conference Quarter-Finals,12,82,3rd
50,"[{'link': '/coaches/burnspa99c.html', 'name': 'P. Burns'}]",NHL,TOR,1994-95,21,19,0,Toronto Maple Leafs,.521,Lost NHL Conference Quarter-Finals,8,48,4th
