year,age,goals,pim,assists,plus_minus,league,games_played,team,points
1932-33,18,9,14,3,0,OHA-Jr.,10,St. Michael\'s Majors,12
1933-34,19,18,10,15,0,OHA-Jr.,12,St. Michael\'s Majors,33
1934-35,20,13,6,13,0,IHL,26,Syracuse Stars,26
1942-43,28,1,0,2,0,NNDHL,1,Nanaimo Army,3
1943-44,29,2,6,7,0,PCHL,7,Nanaimo Clippers,9
