age,win,shotsPercentage,even_strength_goals,assists,plus_minus,league,games_played,shorthanded_goals,year,game_winning_goals,shots,goals,average_ice_time,power_play_goals,pim,total_ice_time,team,points
19,SC,8.7,2,6,6,NHL,0,0,1981-82,0,23,2,,0,36,,NYI,8
20,SC,22.2,7,11,18,NHL,0,0,1982-83,0,45,10,,3,26,,NYI,21
21,,11.1,3,10,-1,NHL,20,1,1983-84,3,36,4,,0,18,,NYI,14
22,,20.0,2,3,-4,NHL,10,0,1984-85,2,15,3,,1,14,,NYI,6
23,,0.0,0,1,-3,NHL,3,0,1985-86,0,6,0,,0,2,,NYI,1
24,,14.3,0,0,-4,NHL,5,0,1986-87,0,7,1,,1,4,,NYI,1
25,,15.4,1,1,2,NHL,6,1,1987-88,1,13,2,,0,18,,NYI,3
27,,11.8,0,3,0,NHL,5,0,1989-90,1,17,2,,2,2,,NYI,5
29,,7.3,2,5,-2,NHL,18,0,1991-92,1,41,3,,1,22,,CHI,8
30,,11.1,1,1,0,NHL,4,0,1992-93,0,9,1,,0,4,,CHI,2
31,,0.0,0,0,0,NHL,6,0,1993-94,0,7,0,,0,2,,CHI,0
32,,4.3,1,2,1,NHL,16,0,1994-95,0,23,1,,0,4,,CHI,3
33,,5.6,1,1,-3,NHL,10,0,1995-96,0,18,1,,0,6,,CHI,2
34,,0.0,0,0,-2,NHL,2,0,1996-97,0,3,0,,0,6,,CHI,0
