average_ice_time,total_shots,points,game_winning_goals,shorthanded_goals,blocks,league,age,even_strength_assists,faceoff_wins,pim,plus_minus,shots,faceoff_percentage,even_strength_goals,faceoff_loses,power_play_goals,shorthanded_assists,power_play_assists,takeaways,year,team,goals,hits,assists,giveaways,shotsPercentage,total_ice_time,games_played,awards
7:05,0,1,1,0,0,NHL,21,0,0,2,-1,4,0,1,0,0,0,0,0,2001-02,CGY,1,0,0,0,25.0,43,6,[]
11:33,0,4,0,0,0,NHL,22,3,0,0,3,16,0,1,0,0,0,0,0,2002-03,CGY,1,0,3,0,6.3,104,9,[]
12:46,0,3,1,0,0,NHL,23,2,0,10,-1,21,0,0,0,1,0,0,0,2003-04,CGY,1,0,2,0,4.8,255,20,[]
12:55,0,10,0,1,0,NHL,25,2,0,24,-10,94,0,7,0,0,0,0,0,2005-06,NYR,8,0,2,0,8.5,853,66,[]
14:02,0,13,0,1,0,NHL,26,4,0,24,-4,120,0,7,0,1,0,0,0,2006-07,NYR,9,0,4,0,7.5,1151,82,"[{'link': '/awards/voting-2007.html#selke', 'name': 'Selke-41'}]"
11:52,134,7,0,0,49,NHL,27,4,388,20,-4,85,50.3,2,383,0,0,1,32,2007-08,NYR,2,91,5,11,2.4,889,75,[]
10:37,133,10,1,2,51,NHL,28,3,436,16,-5,83,49.3,4,448,0,1,0,32,2008-09,NYR,6,93,4,7,7.2,860,81,"[{'link': '/awards/voting-2009.html#selke', 'name': 'Selke-34'}]"
12:37,117,18,2,1,63,NHL,29,10,435,14,7,63,50.9,6,420,1,0,0,20,2009-10,PHI,8,95,10,13,12.7,795,63,"[{'link': '/awards/voting-2010.html#selke', 'name': 'Selke-18'}]"
10:27,84,12,2,1,72,NHL,30,6,411,8,-3,51,50.3,4,406,0,1,0,18,2010-11,PHI,5,82,7,8,9.8,784,75,[]
