goalie_point_share,bad_start,league,games_played,team,minutes,age,loses,goals_allowed_precentage,points,goals_allowed,games_started,goals_saved_aboved_average,ties,shutouts,wins,assists,good_start_precentages,goals,good_starts,saves_percentage,year,shots_againist,goals_allowed_average,pim,awards,saves
-0.1,0,NHL,1,MTL,9,19,0,0,0,1,0,0,0,0,0,0,0,0,0,.500,1995-96,2,6.67,0,[],1
2.3,0,NHL,16,MTL,821,20,6,110,0,53,0,-4.60,2,0,5,0,0,0,0,.896,1996-97,508,3.87,0,[],455
1.0,0,NHL,18,MTL,913,22,12,134,0,50,0,-12.56,0,1,4,0,0,0,0,.877,1998-99,406,3.29,0,[],356
5.5,0,NHL,30,MTL,1655,23,13,0,0,58,0,10.55,2,5,12,0,0,0,0,.919,1999-00,717,2.10,0,[],659
10.4,0,NHL,59,MTL,3298,24,29,94,1,141,0,8.56,5,2,20,0,0,1,0,.909,2000-01,1546,2.57,6,[],1405
0,0,NHL,67,MTL,3864,25,24,0,2,136,0,0,10,7,30,2,0,0,0,0,2001-02,1972,2.11,2,"[{'link': '/awards/nhl_all_star.html#2002', 'name': None}, {'link': '/awards/hart.html#2002', 'name': None}, {'link': '/awards/vezina.html#2002', 'name': None}]",0
10.8,0,NHL,57,MTL,3419,26,31,101,2,165,0,-1.18,6,2,20,2,0,0,0,.908,2002-03,1797,2.90,6,[],1632
13.2,0,NHL,67,MTL,3961,27,28,91,3,150,0,15.65,5,6,33,3,0,0,0,.919,2003-04,1860,2.27,4,"[{'link': '/awards/voting-2004.html#AS', 'name': 'AS-9'}, {'link': '/awards/voting-2004.html#hart', 'name': 'Hart-19'}]",1710
4.6,0,NHL,43,TOT,2410,29,18,120,1,137,0,-22.67,6,0,18,1,0,0,0,.882,2005-06,1158,3.41,2,[],1021
4.0,0,NHL,38,MTL,2114,29,15,121,1,122,0,-20.80,5,0,17,1,0,0,0,.881,2005-06,1025,3.46,2,[],903
0.6,0,NHL,5,COL,296,29,3,0,0,15,0,0,1,0,1,0,0,0,0,.887,2005-06,133,3.04,0,[],118
3.9,0,NHL,33,COL,1748,30,15,115,1,95,0,-12.56,1,0,13,1,0,0,0,.891,2006-07,870,3.26,6,[],775
8.6,9,NHL,53,COL,3028,31,21,99,2,123,52,1.18,3,3,28,2,.596,0,31,.910,2007-08,1367,2.44,2,[],1244
7.9,12,NHL,57,WSH,3287,32,17,109,3,157,55,-13.15,5,2,32,3,.473,0,26,.900,2008-09,1572,2.87,6,[],1415
8.0,7,NHL,47,WSH,2586,33,7,101,2,121,42,-1.04,7,1,30,2,.595,0,25,.911,2009-10,1352,2.81,0,"[{'link': '/awards/masterton.html#2010', 'name': None}]",1231
6.1,2,NHL,32,MIN,1793,34,11,97,0,81,29,2.89,3,1,15,0,.552,0,16,.916,2010-11,963,2.71,2,[],882
9.7,6,NHL,53,FLA,3049,35,16,96,0,125,51,4.87,11,3,22,0,.627,0,32,.917,2011-12,1502,2.46,2,[],1377
1.5,5,NHL,15,FLA,766,36,6,122,0,42,14,-7.56,3,0,4,0,.357,0,5,.893,2012-13,391,3.29,2,[],349
