average_ice_time,points,game_winning_goals,shorthanded_goals,league,age,even_strength_assists,pim,plus_minus,shots,even_strength_goals,power_play_goals,shorthanded_assists,power_play_assists,year,team,goals,assists,awards,shotsPercentage,total_ice_time,games_played
,1,0,0,NHL,21,1,4,-1,10,0,0,0,0,1995-96,TBL,0,1,[],0.0,,13
,18,0,0,NHL,22,8,44,-23,59,3,1,0,6,1996-97,TOT,4,14,[],6.8,,65
,17,0,0,NHL,22,7,44,-21,57,3,1,0,6,1996-97,TBL,4,13,[],7.0,,64
,1,0,0,NHL,22,1,0,-2,2,0,0,0,0,1996-97,EDM,0,1,[],0.0,,1
,8,0,0,NHL,23,7,89,-9,50,0,0,0,1,1997-98,TOT,0,8,[],0.0,,61
,2,0,0,NHL,23,1,42,-7,27,0,0,0,1,1997-98,EDM,0,2,[],0.0,,34
,6,0,0,NHL,23,6,47,-2,23,0,0,0,0,1997-98,MDA,0,6,[],0.0,,27
15:49,3,0,0,NHL,24,0,24,-4,29,1,0,0,2,1998-99,TBL,1,2,[],3.4,332,21
10:47,0,0,0,NHL,26,0,0,-1,3,0,0,0,0,2000-01,NYR,0,0,[],0.0,32,3
13:19,0,0,0,NHL,27,0,0,0,1,0,0,0,0,2001-02,MDA,0,0,[],0.0,13,1
