goals_allowed_precentage,goals_saved_aboved_average,bad_start,year,goals_allowed,minutes,ties,pim,good_starts,saves,shots_againist,assists,team,shutouts,goals,games_started,goals_allowed_average,age,league,saves_percentage,good_start_precentages,games_played,points,wins,loses
0,0,0,1989-90,115,1900,0,0,0,0,0,0,Winnipeg South Blues,2,0,0,3.63,17,MJHL,0,0,35,0,0,0
0,0,0,1990-91,88,1638,0,0,0,0,0,0,Sault Ste. Marie Greyhounds,2,0,0,3.22,18,OHL,0,0,30,0,18,11
0,0,0,1991-92,151,2722,4,0,0,0,0,0,Sault Ste. Marie Greyhounds,0,0,0,3.33,19,OHL,0,0,50,0,28,12
0,0,0,1992-93,76,1470,2,0,0,0,0,0,Sault Ste. Marie Greyhounds,1,0,0,3.10,20,OHL,0,0,26,0,18,5
0,0,0,1992-93,53,777,0,0,0,0,0,0,Indianapolis Ice,0,0,0,4.09,20,IHL,0,0,14,0,5,9
0,0,0,1993-94,102,2082,5,0,0,0,0,0,Adirondack Red Wings,2,0,0,2.94,21,AHL,0,0,37,0,20,10
0,0,0,1994-95,161,2731,8,0,0,1402,1563,0,Adirondack Red Wings,1,0,0,3.54,22,AHL,.897,0,51,0,19,22
0,0,0,1995-96,87,1654,2,0,0,762,849,0,Adirondack Red Wings,0,0,0,3.16,23,AHL,.898,0,32,0,13,13
0,0,0,1996-97,7,118,0,0,0,51,58,0,Quebec Rafales,0,0,0,3.56,24,IHL,.879,0,2,0,1,1
0,0,0,1998-99,19,349,2,0,0,159,178,0,Adirondack Red Wings,0,0,0,3.27,26,AHL,.893,0,6,0,1,3
0,0,0,1999-00,22,505,0,13,0,243,265,0,Detroit Vipers,0,0,0,2.61,27,IHL,.917,0,9,0,2,6
0,0,0,2003-04,5,184,1,0,0,0,0,0,Jokerit Helsinki,1,0,0,1.63,31,Finland,0,0,3,0,1,1
