power_play_goals,games_played,points,game_winning_goals,league,year,age,goals,team,average_ice_time,assists,pim,plus_minus,shorthanded_goals,shots,total_ice_time,win,shotsPercentage,even_strength_goals
2,12,6,0,NHL,1979-80,21,2,MNS,,4,10,3,0,11,,,18.2,0
0,0,5,0,NHL,1980-81,22,1,MNS,,4,14,-1,0,22,,,4.5,1
0,4,0,0,NHL,1981-82,23,0,MNS,,0,2,1,0,3,,,0.0,0
0,5,2,0,NHL,1982-83,24,0,MNS,,2,6,-2,0,10,,,0.0,0
1,16,4,0,NHL,1983-84,25,1,MNS,,3,25,-2,0,34,,,2.9,0
0,9,0,0,NHL,1984-85,26,0,MNS,,0,17,-2,0,13,,,0.0,0
0,5,1,0,NHL,1985-86,27,0,MNS,,1,10,-3,0,5,,,0.0,0
0,5,0,0,NHL,1986-87,28,0,NYR,,0,6,1,0,6,,,0.0,0
0,5,0,0,NHL,1988-89,30,0,MNS,,0,4,-1,0,8,,,0.0,0
0,7,1,0,NHL,1989-90,31,0,MNS,,1,6,-2,0,6,,,0.0,0
0,10,1,0,NHL,1990-91,32,1,MNS,,0,16,-4,0,7,,,14.3,1
1,3,2,0,NHL,1991-92,33,1,STL,,1,0,-2,0,2,,,50.0,0
0,3,0,0,NHL,1992-93,34,0,STL,,0,2,-1,0,0,,,0,0
