shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,pim,shutouts,points,bad_start,team
0,0,0,0,2200,37,0,1995-96,0,0,2.32,Austria,0,85,0,0,0,0,0,20,0,0,0,0,VEU Feldkirch
0,0,0,0,2738,45,0,1996-97,0,0,2.30,Alpenliga,0,105,0,0,0,0,0,21,0,0,0,0,VEU Feldkirch
0,0,0,0,779,13,0,1997-98,0,0,1.69,Alpenliga,0,22,0,0,0,0,0,22,0,0,0,0,VEU Feldkirch
0,0,0,0,1620,27,0,1997-98,0,0,2.04,Austria,0,55,0,0,0,0,0,22,0,0,0,0,VEU Feldkirch
0,0,0,0,900,15,0,1998-99,0,0,3.87,Austria,0,58,0,0,0,0,0,23,0,0,0,0,VEU Feldkirch
0,0,0,0,120,2,0,1998-99,0,0,2.00,WC-Q,0,4,0,0,0,0,0,23,0,0,0,0,Austria
0,0,0,0,360,6,0,1998-99,0,3,3.17,WC-A,0,19,0,0,3,0,0,23,0,1,0,0,Austria
0,0,0,0,2839,48,0,1999-00,0,0,3.38,Sweden,0,160,0,0,0,0,0,24,0,3,0,0,Leksands IF
0,0,2,0,359,6,0,1999-00,0,2,2.51,WC-A,0,15,0,0,2,0,0,24,0,0,0,0,Austria
0,0,0,0,2451,41,0,2000-01,0,0,3.45,Sweden,0,141,0,0,0,0,0,25,0,3,0,0,Leksands IF
0,0,0,0,327,6,0,2000-01,0,0,3.49,WC-A,0,19,0,0,0,0,0,25,0,1,0,0,Austria
1408,0,5,1271,3173,55,2,2001-02,0,28,2.59,AHL,0,137,0,0,20,0,.903,26,2,3,2,0,Worcester IceCats
0,0,2,0,238,4,0,2001-02,0,1,3.03,Olympics,0,12,0,0,1,0,0,26,0,0,0,0,Austria
222,0,0,205,453,9,0,2002-03,0,6,2.25,AHL,0,17,0,0,1,0,.923,27,0,0,0,0,Worcester IceCats
769,0,8,706,1709,31,0,2003-04,0,12,2.21,AHL,0,63,0,0,10,0,.918,28,4,3,0,0,Worcester IceCats
0,0,2,0,358,6,0,2003-04,0,1,2.35,WC-A,0,14,0,0,3,0,0,28,0,1,0,0,Austria
0,0,4,0,1482,26,0,2004-05,0,10,2.47,Austria,0,61,0,0,10,0,0,29,4,2,0,0,EC VSV Villach
749,0,2,673,1646,31,1,2005-06,0,16,2.77,AHL,0,76,0,0,10,0,.899,30,4,2,1,0,Peoria Rivermen
0,0,0,0,240,4,0,2005-06,0,4,1.75,WC-B,0,7,0,0,0,0,0,30,0,1,0,0,Austria
0,0,0,0,2179,36,0,2006-07,0,0,2.64,Austria,0,96,0,0,0,0,0,31,0,2,0,0,EC Red Bull Salzburg
129,0,0,111,242,4,0,2006-07,0,1,4.46,WC-A,0,18,0,0,3,0,.860,31,0,0,0,0,Austria
0,0,0,0,3049,52,0,2007-08,0,0,2.54,Austria,0,129,0,0,0,0,0,32,0,6,0,0,EC Red Bull Salzburg
0,0,0,0,835,15,0,2008-09,0,0,2.59,Sweden,0,36,0,0,0,0,0,33,2,1,0,0,Farjestads BK Karlstad
0,0,0,0,0,16,0,2009-10,0,0,0,Austria,0,3,0,0,0,0,0,34,0,0,0,0,EC Red Bull Salzburg
0,0,0,0,0,5,0,2009-10,0,0,0,WC-B,0,1,0,0,0,0,0,34,0,0,0,0,Austria
0,0,0,0,0,30,0,2010-11,0,0,0,Austria,0,0,0,0,0,0,0,35,0,0,0,0,EC Red Bull Salzburg
0,0,0,0,0,38,0,2011-12,0,0,0,Austria,0,0,0,0,0,0,0,36,0,0,0,0,EV Vienna Capitals
