shots_againist,good_start_precentages,ties,saves,minutes,games_played,assists,year,goals,wins,goals_allowed_average,league,games_started,goals_allowed,goals_allowed_precentage,goals_saved_aboved_average,loses,good_starts,saves_percentage,age,goalie_point_share,pim,awards,shutouts,points,bad_start,team
0,0,0,0,40,1,0,1961-62,0,0,4.50,NHL,0,3,0,0,1,0,0,20,0.0,0,[],0,0,0,NYR
0,0,1,0,453,11,1,1965-66,0,3,3.05,NHL,0,23,0,0,4,0,0,24,1.2,0,[],0,1,0,CBH
0,0,5,0,1268,27,0,1967-68,0,7,3.26,NHL,0,69,0,0,8,0,0,26,2.4,0,[],1,0,0,CBH
0,0,2,0,1479,30,1,1968-69,0,11,3.20,NHL,0,79,0,0,11,0,0,27,3.5,0,[],3,1,0,CBH
0,0,0,0,409,10,1,1970-71,0,3,3.37,NHL,0,23,0,0,3,0,0,29,0.9,0,[],1,1,0,BUF
0,0,5,0,1026,20,0,1971-72,0,3,3.98,NHL,0,68,0,0,9,0,0,30,1.3,0,[],0,0,0,BUF
0,0,7,0,2018,37,0,1972-73,0,14,2.65,NHL,0,89,0,0,13,0,0,31,7.2,0,[],3,0,0,BUF
0,0,8,0,2987,53,1,1973-74,0,23,2.97,NHL,0,148,0,0,20,0,0,32,9.0,4,[],1,1,0,BUF
1679,0,0,1503,2728,45,1,1974-75,0,0,3.87,WHA,0,176,96,7.97,0,0,.895,33,0,4,[],1,1,0,CHC
1927,0,0,1692,3567,62,2,1975-76,0,0,3.95,WHA,0,235,106,-14.20,0,0,.878,34,0,2,[],1,2,0,EDO
693,0,0,616,1416,24,2,1976-77,0,0,3.26,WHA,0,77,96,3.62,0,0,.889,35,0,0,[],1,2,0,EDO
1239,0,0,1089,2578,48,1,1977-78,0,0,3.49,WHA,0,150,98,3.84,0,0,.879,36,0,0,[],2,1,0,EDO
1544,0,0,1374,3531,0,8,1978-79,0,0,0,WHA,0,170,92,13.92,0,0,.890,37,0,0,"[{'link': '/awards/wha_all_star.html#1979', 'name': None}, {'link': '/awards/hatskin.html#1979', 'name': None}, {'link': '/awards/howe.html#1979', 'name': None}]",0,8,0,EDO
0,0,3,0,744,14,0,1979-80,0,2,4.27,NHL,0,53,0,0,7,0,0,38,1.2,0,[],0,0,0,EDM
